Cell Data,Filename,Table Number,IsQuestion
"***RISK  
RSKA-RSKJ  
{ASK ALL} 
 
You are now going to be asked to make a number of choices between two imaginary 
alternatives. One alternative involves getting an amount of money for certain. In the other, 
it is a lottery between greater amount of money or no money at all – think of this as being 
based on the toss of a coin. In each case, just pick the alternative you’d like most. 
 
  
 
Would you prefer:",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
RSKA   A 50-50 chance of £240 or £132 for certain ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
RSKB   A 50-50 chance of £240 or £120 for certain ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
RSKC   A 50-50 chance of £240 or £108 for certain  ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
RSKD   A 50-50 chance of £240 or £96 for certain  ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
RSKE   A 50-50 chance of £240 or £84 for certain  ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
RSKF   A 50-50 chance of £240 or £72 for certain  ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
RSKG   A 50-50 chance of £240 or £60 for certain  ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
RSKH   A 50-50 chance of £240 or £48 for certain  ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
RSKI   A 50-50 chance of £240 or £36 for certain  ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
RSKJ   A 50-50 chance of £240 or £24 for certain  ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,1,0
PRFA   £50 in two months or £50 in four months ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,2,0
PRFB   £50 in two months or £52 in four months ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,2,0
PRFC   £50 in two months or £55 in four months ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,2,0
PRFD   £50 in two months or £60 in four months ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,2,0
PRFE   £50 in two months or £70 in four months ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,2,0
PRFF   £50 in two months or £80 in four months ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,2,0
PRFG   £50 in two months or £90 in four months ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,2,0
PRFH   £50 in two months or £100 in four months ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,2,0
PRFI   £50 in two months or £120 in four months ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,2,0
PRFJ   £50 in two months or £150 in four months ,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\038_mcs7youngpersononlinecawiquest.json,2,0
